,data_points,rmsd,rmpse,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
9164,1544,6050.013588344692,0.0586323317572973,0.9921638665423336,5.066605569568061e-141,0.9301902398676593,1.4855232250400222e-66
1664,1544,4723.788744822932,0.0464185397656392,0.9934124638459956,8.336082168841753e-147,0.9369727047146402,1.6781408513789744e-67
9664,1544,5560.755943798234,0.0543232139953685,0.9942058763098416,4.388467196766735e-151,0.9430934656741108,2.3136897374568327e-68
4164,1544,5875.62508336424,0.0570428842761636,0.9940098939482542,5.643005717277524e-150,0.9396195202646817,7.134989869417577e-68
4664,1544,5721.510215121835,0.0557012399255298,0.993829716615827,5.490381345271062e-149,0.939454094292804,7.527288263628415e-68
12164,1544,6622.602323912673,0.0638176127890114,0.9941553002165288,8.553008496823698e-151,0.9421009098428452,3.1932108849311243e-68
13664,1544,5460.46625985624,0.052899921999122,0.9944682397939024,1.2503136111061548e-152,0.943424317617866,2.0779340641337714e-68
8664,1544,4430.181825048821,0.0439635451687844,0.9947590523304514,1.9762778638695383e-154,0.9459057071960296,9.269645350872047e-69
7664,1544,5363.885708306707,0.0520102660272727,0.9950530258728328,2.345551848592217e-156,0.9467328370554178,7.079516266976654e-69
6164,1544,4990.433793109576,0.0489263548314636,0.9938107505808348,6.949025380675894e-149,0.9407775020678246,4.9041437911960455e-68
11164,1544,5427.807130024214,0.0533572375581632,0.994566230974696,3.169074343642654e-153,0.9454094292803972,1.08955721896929e-68
164,1544,6358.117029893424,0.0609851791168571,0.9954355075785114,4.847974359381624e-159,0.9485525227460712,3.9094418728449677e-69
10664,1544,6002.215937527866,0.0583792190140269,0.9935799971550948,1.1540912035326521e-147,0.9389578163771712,8.837912798484461e-68
1164,1544,5013.532222175157,0.0497458335317869,0.9932069984669122,8.804073081987193e-146,0.9356492969396196,2.5713167591489317e-67
7164,1544,5774.66161424961,0.0567414189000498,0.9951636610769546,4.1275051087931586e-157,0.9477253928866832,5.121509112984621e-69
3164,1544,5710.405168136696,0.0554198084777465,0.9940699530590632,2.6032178942806423e-150,0.9412737799834574,4.175589960045189e-68
8164,1544,6543.054373611677,0.0627373635932575,0.9935673531317664,1.342237085595307e-147,0.9373035566583954,1.5081896473431552e-67
664,1544,4810.882284861538,0.0479210708475474,0.9939119027674604,1.961252976979041e-149,0.940281224152192,5.759329813850183e-68
665,1554,5894.1089621536175,0.0573725411179175,0.9944397907414138,1.8539333248867837e-152,0.9439205955334988,1.7684436609475855e-68
5165,1554,5378.965930485267,0.0520790610197296,0.9935547091084382,1.5605911317765897e-147,0.9376344086021504,1.3553992353480908e-67
7665,1554,5114.209114706178,0.0502548491507914,0.9910164214252976,1.8018039002771158e-136,0.9253928866832092,6.880465536407341e-66
